,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
0,2973384,0.38,False,Watergraafsmeer,52.30989,4.90528,Entire home/apt,5,3,3,7,185.0,6,21,True,0,0,4.83,False,37.0,1110.0,0.06,0.12,0.18,4.99,0.03561643835616438,941.3013698630137
1,34985473,1.0,True,Noord-Oost,52.42831,5.042191,Entire home/apt,5,3,4,4,135.0,6,1125,True,7,0,4.43,False,27.0,810.0,0.08,0.13,0.17,4.99,0.16164383561643836,748.5616438356165
2,44174770,1.0,True,Watergraafsmeer,52.33715,4.95199,Private room,1,1,1,8,59.0,30,1125,True,0,0,4.88,True,59.0,1770.0,0.05,0.12,0.15,2.99,0.6712328767123288,296.5068493150685
3,50065811,0.92,False,Bijlmer-Centrum,52.272964,4.970106,Entire home/apt,6,3,4,14,275.0,5,42,True,18,1,4.14,False,45.83,1375.0,0.02,0.15,0.28,4.99,0.4602739726027397,1375.0
4,18082645,0.29,False,Watergraafsmeer,52.34197,4.95708,Entire home/apt,6,3,2,6,150.0,4,1125,True,1,1,4.88,False,25.0,600.0,0.09,0.13,0.18,4.99,0.0684931506849315,895.8904109589041
5,55868,0.0,False,Zuid,52.35597,4.88512,Entire home/apt,4,2,2,1,149.0,4,21,True,0,0,4.86,False,37.25,596.0,0.06,0.14,0.18,4.99,0.0,749.2191780821918
6,97476,0.78,False,Zuid,52.35665,4.86363,Entire home/apt,2,1,1,10,115.0,14,30,True,0,0,4.89,False,57.5,1610.0,0.07,0.14,0.18,4.99,0.0,575.0
7,169356,0.44000000000000006,False,Centrum-West,52.38104,4.88306,Entire home/apt,2,1,1,11,195.0,7,7,True,0,0,5.0,False,97.5,1365.0,0.06,0.13,0.21,4.99,0.1780821917808219,975.0
8,179528,1.0,False,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,3,2,2,10,270.0,21,100,True,6,0,4.5,True,90.0,5670.0,0.08,0.21,0.28,4.99,0.1506849315068493,1476.164383561644
9,252080,0.74,False,Centrum-Oost,52.36936,4.90963,Entire home/apt,4,2,2,16,385.0,4,30,True,0,0,4.89,False,96.25,1540.0,0.06,0.23,0.16,4.99,0.4520547945205479,1917.7945205479452
10,274688,0.36,False,Bos en Lommer,52.37977,4.85574,Entire home/apt,2,1,1,5,88.0,4,30,True,0,0,4.85,False,44.0,352.0,0.05,0.1,0.18,4.99,0.0,439.24657534246575
11,286374,0.38,False,Geuzenveld - Slotermeer,52.37725,4.83307,Entire home/apt,4,2,2,1,130.0,4,21,True,0,1,4.75,False,32.5,520.0,0.06,0.14,0.18,4.99,0.7013698630136986,650.0
12,306852,0.79,False,Centrum-Oost,52.35931,4.89844,Entire home/apt,4,2,2,7,200.0,4,21,True,0,2,4.61,False,50.0,800.0,0.07,0.24,0.2,4.99,0.08493150684931507,1000.0
13,367107,0.0,False,Centrum-Oost,52.36263,4.90216,Entire home/apt,2,1,1,11,182.0,5,30,True,5,0,5.0,False,91.0,910.0,0.06,0.19,0.2,4.99,0.07397260273972603,910.6164383561644
14,414865,0.0,False,Zuid,52.35043,4.84676,Entire home/apt,2,1,1,5,110.0,4,30,True,2,1,4.88,False,55.0,440.0,0.07,0.17,0.18,4.99,0.038356164383561646,561.5616438356165
15,438089,1.0,False,De Baarsjes - Oud-West,52.36116,4.86608,Private room,2,1,1,12,129.0,4,60,True,2,1,4.78,True,64.5,516.0,0.07,0.18,0.14,4.99,0.4383561643835616,645.0
16,446999,1.0,False,De Baarsjes - Oud-West,52.35927,4.86529,Private room,2,1,1,3,119.0,4,90,True,10,0,4.77,True,59.5,476.0,0.07,0.18,0.18,4.99,0.4438356164383562,595.0
17,522471,0.5,False,Bos en Lommer,52.3774,4.851,Entire home/apt,4,2,5,8,180.0,8,25,True,0,0,4.96,False,45.0,1440.0,0.07,0.14,0.17,4.99,0.030136986301369864,900.0
